,vaccination_ratio,new_deaths_per_million,reproduction_rate,positive_rate,stringency_index
2020-03-20,0.0,4.212851851851853,1.9803571428571427,0.08636842105263157,67.49511627906976
2020-03-21,0.0,7.322066666666668,1.9039999999999997,0.09147368421052632,69.21767441860464
2020-03-22,0.0,1.3054857142857141,1.8612903225806448,0.1025238095238095,69.96069767441863
2020-03-23,0.0,1.1392162162162163,1.7737142857142858,0.10484210526315792,72.23232558139534
2020-03-24,0.0,2.0845789473684215,1.6625641025641027,0.11373684210526316,73.98744186046511
2020-03-25,0.0,1.4917435897435898,1.625128205128205,0.12015,74.80581395348838
2020-03-26,0.0,2.2766666666666664,1.6074999999999995,0.10628571428571428,75.02116279069769
2020-03-27,0.0,2.1413333333333333,1.5690000000000004,0.10480952380952381,75.99023255813955
2020-03-28,0.0,2.834153846153846,1.5292500000000002,0.10704761904761903,76.65767441860463
2020-03-29,0.0,3.625175,1.4892499999999997,0.11034782608695654,76.98069767441862
2020-03-30,0.0,5.0537,1.4477499999999996,0.09776190476190476,77.97139534883722
2020-03-31,0.0,4.678658536585366,1.4346341463414636,0.0948095238095238,78.6604651162791
2020-04-01,0.0,3.5320952380952377,1.3851162790697678,0.09080952380952381,78.83279069767443
2020-04-02,0.0,6.039809523809522,1.3476744186046514,0.09333333333333334,78.63883720930234
2020-04-03,0.0,3.0995581395348832,1.3130232558139534,0.09352380952380954,78.70348837209305
2020-04-04,0.0,4.248977272727273,1.282558139534884,0.08827272727272727,78.87581395348838
2020-04-05,0.0,2.6227727272727273,1.2488372093023252,0.09358333333333331,78.87581395348838
2020-04-06,0.0,3.6778181818181817,1.2167441860465116,0.08469565217391305,79.09093023255814
2020-04-07,0.0,5.507068181818183,1.1883720930232557,0.08949999999999998,79.09093023255815
2020-04-08,0.0,3.251777777777778,1.1555813953488374,0.08457692307692309,79.82302325581395
2020-04-09,0.0,3.938044444444444,1.1274418604651166,0.08146153846153846,79.99511627906978
2020-04-10,0.0,3.5762000000000005,1.1044186046511626,0.08165384615384615,80.18906976744188
2020-04-11,0.0,3.4896444444444437,1.0753488372093023,0.07796153846153844,80.18906976744188
2020-04-12,0.0,3.3385777777777776,1.0495348837209304,0.08074999999999999,80.31837209302327
2020-04-13,0.0,2.4807333333333332,1.0248837209302324,0.07476923076923075,80.31837209302324
2020-04-14,0.0,3.9377999999999997,1.000697674418605,0.07084615384615385,79.56488372093023
2020-04-15,0.0,5.259355555555556,0.9820930232558142,0.07053846153846154,79.52186046511628
2020-04-16,0.0,4.468933333333333,0.9655813953488372,0.07066666666666667,79.56488372093024
2020-04-17,0.0,4.394711111111111,0.9427906976744186,0.06625925925925925,79.69395348837209
2020-04-18,0.0,2.467622222222223,0.9269767441860467,0.06439285714285713,79.75837209302325
2020-04-19,0.0,2.3184222222222215,0.9127906976744184,0.0666,79.75837209302324
2020-04-20,0.0,2.5591777777777778,0.8962790697674419,0.07355172413793101,79.02627906976745
2020-04-21,0.0,3.6726444444444453,0.8816279069767443,0.07320689655172415,78.78976744186049
2020-04-22,0.0,2.799688888888889,0.8641860465116278,0.0696551724137931,78.78976744186048
2020-04-23,0.0,2.982977777777778,0.8462790697674417,0.0646896551724138,78.72511627906978
2020-04-24,0.0,4.170266666666667,0.831860465116279,0.0526551724137931,78.68209302325582
2020-04-25,0.0,2.1572888888888886,0.8169767441860464,0.04848275862068965,78.68209302325583
2020-04-26,0.0,2.177622222222223,0.8037209302325582,0.04729032258064517,78.68209302325582
2020-04-27,0.0,1.6498444444444442,0.7899999999999998,0.043,78.05720930232559
2020-04-28,0.0,2.3766444444444446,0.7758139534883718,0.039000000000000014,78.05720930232559
2020-04-29,0.0,2.4427777777777773,0.7613953488372094,0.03544827586206897,78.05720930232559
2020-04-30,0.0,1.848266666666667,0.7460465116279071,0.03182758620689656,77.86348837209303
2020-05-01,0.0,1.8163111111111112,0.7390697674418605,0.03124137931034483,77.82023255813955
2020-05-02,0.0,1.7973111111111117,0.7383720930232558,0.030448275862068972,77.75558139534883
2020-05-03,0.0,1.3865333333333334,0.7458139534883721,0.03161290322580645,77.37883720930235
2020-05-04,0.0,1.2382,0.7520930232558141,0.02858620689655173,75.25813953488372
2020-05-05,0.0,1.8052444444444442,0.7539534883720931,0.028400000000000005,74.91348837209304
2020-05-06,0.0,2.0841555555555558,0.754418604651163,0.028000000000000008,74.43976744186047
2020-05-07,0.0,1.7137333333333327,0.7588372093023253,0.02796666666666667,74.22441860465116
2020-05-08,0.0,1.580533333333333,0.7639534883720932,0.027766666666666676,73.98767441860464
2020-05-09,0.0,1.3884444444444444,0.7695348837209302,0.026400000000000003,73.98767441860468
