,vaccination_ratio,new_deaths_per_million,reproduction_rate,positive_rate,stringency_index
2020-06-28,0.0,0.0,0.74,0.008,59.26
2020-06-29,0.0,0.117,0.75,0.0,59.26
2020-06-30,0.0,0.35,0.75,0.0,59.26
2020-07-01,0.0,0.117,0.76,0.0,39.81
2020-07-02,0.0,0.175,0.77,0.0,39.81
2020-07-03,0.0,0.117,0.78,0.0,39.81
2020-07-04,0.0,0.35,0.78,0.0,39.81
2020-07-05,0.0,0.058,0.77,0.006,39.81
2020-07-06,0.0,0.058,0.78,0.0,39.81
2020-07-07,0.0,0.233,0.8,0.0,39.81
2020-07-08,0.0,0.175,0.84,0.0,39.81
2020-07-09,0.0,0.117,0.89,0.0,39.81
2020-07-10,0.0,-0.058,0.97,0.0,39.81
2020-07-11,0.0,0.058,1.06,0.0,39.81
2020-07-12,0.0,0.0,1.14,0.007,39.81
2020-07-13,0.0,0.0,1.19,0.0,39.81
2020-07-14,0.0,-0.117,1.24,0.0,39.81
2020-07-15,0.0,0.058,1.31,0.0,39.81
2020-07-16,0.0,0.058,1.36,0.0,39.81
2020-07-17,0.0,0.058,1.42,0.0,39.81
2020-07-18,0.0,-0.117,1.47,0.0,39.81
2020-07-19,0.0,0.0,1.5,0.01,39.81
2020-07-20,0.0,0.0,1.54,0.0,39.81
2020-07-21,0.0,0.0,1.53,0.0,39.81
2020-07-22,0.0,0.175,1.49,0.0,39.81
2020-07-23,0.0,0.0,1.46,0.0,39.81
2020-07-24,0.0,0.0,1.45,0.0,39.81
2020-07-25,0.0,0.058,1.45,0.0,39.81
2020-07-26,0.0,1.109,1.48,0.01,39.81
2020-07-27,0.0,-1.05,1.48,0.0,39.81
2020-07-28,0.0,0.233,1.51,0.0,39.81
2020-07-29,0.0,0.117,1.54,0.0,39.81
2020-07-30,0.0,0.0,1.59,0.0,39.81
2020-07-31,0.0,0.0,1.61,0.0,39.81
2020-08-01,0.0,0.058,1.63,0.0,39.81
2020-08-02,0.0,0.117,1.61,0.02,39.81
2020-08-03,0.0,0.0,1.61,0.0,39.81
2020-08-04,0.0,0.058,1.62,0.0,39.81
2020-08-05,0.0,0.175,1.59,0.0,39.81
2020-08-06,0.0,0.0,1.59,0.0,39.81
2020-08-07,0.0,0.058,1.56,0.0,39.81
2020-08-08,0.0,0.233,1.51,0.0,39.81
2020-08-09,0.0,0.0,1.48,0.033,39.81
2020-08-10,0.0,0.0,1.45,0.0,39.81
2020-08-11,0.0,-0.934,1.41,0.0,39.81
2020-08-12,0.0,1.167,1.41,0.0,39.81
2020-08-13,0.0,0.292,1.32,0.0,39.81
2020-08-14,0.0,0.117,1.24,0.0,39.81
2020-08-15,0.0,0.117,1.18,0.0,39.81
2020-08-16,0.0,0.175,1.11,0.032,39.81
2020-08-17,0.0,0.0,1.06,0.0,39.81
2020-08-18,0.0,0.175,1.04,0.0,50.93
2020-08-19,0.0,0.409,1.0,0.0,50.93
2020-08-20,0.0,0.642,0.99,0.0,50.93
2020-08-21,0.0,0.233,0.99,0.0,50.93
2020-08-22,0.0,0.35,0.99,0.0,50.93
2020-08-23,0.0,0.0,0.99,0.021,50.93
2020-08-24,0.0,0.117,0.99,0.0,50.93
2020-08-25,0.0,0.35,0.98,0.0,50.93
2020-08-26,0.0,0.467,0.98,0.0,50.93
2020-08-27,0.0,0.175,0.99,0.0,50.93
2020-08-28,0.0,0.175,1.0,0.0,50.93
2020-08-29,0.0,0.292,1.02,0.0,50.93
2020-08-30,0.0,0.0,1.04,0.018,50.93
2020-08-31,0.0,0.0,1.07,0.0,50.93
2020-09-01,0.0,0.467,1.11,0.0,50.93
2020-09-02,0.0,0.409,1.15,0.0,50.93
2020-09-03,0.0,0.058,1.18,0.0,50.93
2020-09-04,0.0,0.117,1.22,0.0,50.93
2020-09-05,0.0,0.292,1.25,0.0,50.93
2020-09-06,0.0,0.117,1.3,0.024,50.93
2020-09-07,0.0,0.058,1.33,0.0,50.93
2020-09-08,0.0,0.058,1.35,0.0,50.93
2020-09-09,0.0,0.117,1.36,0.0,50.93
2020-09-10,0.0,0.233,1.36,0.0,50.93
2020-09-11,0.0,0.292,1.37,0.0,50.93
2020-09-12,0.0,0.058,1.38,0.0,50.93
2020-09-13,0.0,0.058,1.38,0.034,50.93
2020-09-14,0.0,0.233,1.39,0.0,50.93
2020-09-15,0.0,0.233,1.41,0.0,50.93
2020-09-16,0.0,0.175,1.42,0.0,50.93
2020-09-17,0.0,0.409,1.44,0.0,50.93
2020-09-18,0.0,0.467,1.44,0.0,50.93
2020-09-19,0.0,0.117,1.43,0.0,50.93
2020-09-20,0.0,0.233,1.42,0.055,48.15
2020-09-21,0.0,0.175,1.42,0.0,48.15
2020-09-22,0.0,0.642,1.41,0.0,48.15
2020-09-23,0.0,0.35,1.4,0.0,48.15
2020-09-24,0.0,0.992,1.39,0.0,48.15
2020-09-25,0.0,0.934,1.38,0.0,48.15
2020-09-26,0.0,2.218,1.37,0.0,48.15
2020-09-27,0.0,0.467,1.37,0.07,48.15
2020-09-28,0.0,0.35,1.36,0.0,48.15
2020-09-29,0.0,0.817,1.35,0.0,62.04
2020-09-30,0.0,0.817,1.35,0.0,62.04
2020-10-01,0.0,0.759,1.35,0.0,62.04
2020-10-02,0.0,0.7,1.36,0.0,62.04
2020-10-03,0.0,1.226,1.37,0.0,62.04
2020-10-04,0.0,0.292,1.39,0.089,62.04
2020-10-05,0.0,0.058,1.4,0.0,62.04
2020-10-06,0.0,1.692,1.41,0.0,62.04
2020-10-07,0.0,2.101,1.42,0.0,62.04
2020-10-08,0.0,0.759,1.42,0.0,62.04
2020-10-09,0.0,0.817,1.42,0.0,62.04
2020-10-10,0.0,1.342,1.42,0.0,62.04
2020-10-11,0.0,1.05,1.41,0.12,62.04
2020-10-12,0.0,0.7,1.39,0.0,62.04
2020-10-13,0.0,2.043,1.38,0.0,62.04
2020-10-14,0.0,1.809,1.35,0.0,62.04
2020-10-15,0.0,1.692,1.33,0.0,62.04
2020-10-16,0.0,0.934,1.3,0.0,62.04
2020-10-17,0.0,1.868,1.28,0.0,62.04
2020-10-18,0.0,0.817,1.27,0.128,62.04
2020-10-19,0.0,0.992,1.25,0.0,62.04
2020-10-20,0.0,2.685,1.23,0.0,62.04
2020-10-21,0.0,3.502,1.23,0.0,62.04
2020-10-22,0.0,2.743,1.21,0.0,62.04
2020-10-23,0.0,2.626,1.2,0.0,62.04
2020-10-24,0.0,3.21,1.19,0.0,62.04
2020-10-25,0.0,1.576,1.18,0.161,62.04
2020-10-26,0.0,1.517,1.17,0.0,62.04
2020-10-27,0.0,4.085,1.14,0.0,62.04
2020-10-28,0.0,3.56,1.11,0.0,62.04
2020-10-29,0.0,3.268,1.08,0.0,62.04
2020-10-30,0.0,5.077,1.05,0.0,62.04
2020-10-31,0.0,2.976,1.02,0.0,62.04
2020-11-01,0.0,2.276,0.98,0.157,62.04
2020-11-02,0.0,1.692,0.95,0.0,62.04
2020-11-03,0.0,6.595,0.91,0.0,62.04
2020-11-04,0.0,6.303,0.88,0.0,65.74
2020-11-05,0.0,5.136,0.84,0.0,65.74
2020-11-06,0.0,6.887,0.81,0.0,65.74
2020-11-07,0.0,4.319,0.79,0.0,65.74
2020-11-08,0.0,2.568,0.78,0.138,65.74
2020-11-09,0.0,2.334,0.78,0.0,65.74
2020-11-10,0.0,5.778,0.78,0.0,65.74
2020-11-11,0.0,4.377,0.8,0.0,65.74
2020-11-12,0.0,5.194,0.81,0.0,65.74
2020-11-13,0.0,3.21,0.82,0.0,65.74
2020-11-14,0.0,5.019,0.83,0.0,65.74
2020-11-15,0.0,2.51,0.85,0.131,65.74
2020-11-16,0.0,2.568,0.86,0.0,65.74
2020-11-17,0.0,5.019,0.87,0.0,65.74
2020-11-18,0.0,4.844,0.88,0.0,65.74
2020-11-19,0.0,4.319,0.9,0.0,65.74
2020-11-20,0.0,3.035,0.92,0.0,65.74
2020-11-21,0.0,2.801,0.93,0.0,65.74
2020-11-22,0.0,1.226,0.93,0.116,56.48
2020-11-23,0.0,3.151,0.93,0.0,56.48
2020-11-24,0.0,5.252,0.93,0.0,56.48
2020-11-25,0.0,4.319,0.93,0.0,56.48
2020-11-26,0.0,4.377,0.93,0.0,56.48
2020-11-27,0.0,4.844,0.94,0.0,56.48
2020-11-28,0.0,3.502,0.95,0.0,56.48
2020-11-29,0.0,1.342,0.97,0.106,56.48
2020-11-30,0.0,1.576,0.99,0.0,56.48
2020-12-01,0.0,3.793,1.02,0.0,56.48
2020-12-02,0.0,3.852,1.05,0.0,56.48
2020-12-03,0.0,3.56,1.08,0.0,56.48
2020-12-04,0.0,3.443,1.11,0.0,56.48
2020-12-05,0.0,2.276,1.15,0.0,56.48
2020-12-06,0.0,1.459,1.18,0.108,56.48
2020-12-07,0.0,1.05,1.21,0.0,56.48
2020-12-08,0.0,4.144,1.23,0.0,56.48
2020-12-09,0.0,3.852,1.24,0.0,56.48
2020-12-10,0.0,3.618,1.25,0.0,56.48
2020-12-11,0.0,3.852,1.27,0.0,56.48
2020-12-12,0.0,3.093,1.27,0.0,56.48
2020-12-13,0.0,1.751,1.27,0.119,56.48
2020-12-14,0.0,1.984,1.27,0.0,56.48
2020-12-15,0.0,5.019,1.27,0.0,71.3
2020-12-16,0.0,4.61,1.29,0.0,78.7
2020-12-17,0.0,4.377,1.29,0.0,78.7
2020-12-18,0.0,4.902,1.27,0.0,78.7
2020-12-19,0.0,3.151,1.25,0.0,78.7
2020-12-20,0.0,1.868,1.22,0.132,78.7
2020-12-21,0.0,1.634,1.18,0.0,78.7
2020-12-22,0.0,6.653,1.13,0.0,78.7
2020-12-23,0.0,6.128,1.08,0.0,78.7
2020-12-24,0.0,5.194,1.04,0.0,78.7
2020-12-25,0.0,5.894,1.0,0.0,78.7
2020-12-26,0.0,2.743,0.97,0.0,78.7
2020-12-27,0.0,1.634,0.94,0.132,78.7
2020-12-28,0.0,2.626,0.93,0.0,78.7
2020-12-29,0.0,9.921,0.92,0.0,78.7
2020-12-30,0.0,6.536,0.91,0.0,78.7
2020-12-31,0.0,6.303,0.89,0.0,78.7
2021-01-01,0.0,5.778,0.88,0.0,78.7
2021-01-02,0.0,2.101,0.87,0.0,78.7
2021-01-03,0.0,2.743,0.87,0.134,78.7
2021-01-04,0.0,3.677,0.87,0.0,78.7
2021-01-05,0.0,8.871,0.88,0.0,78.7
2021-01-06,0.0,10.155,0.88,0.0,78.7
2021-01-07,0.0,5.019,0.88,0.0,78.7
2021-01-08,0.0,5.077,0.87,0.0,78.7
2021-01-09,0.0,7.995,0.86,0.0,78.7
2021-01-10,0.0019697840771857487,3.21,0.84,0.121,78.7
2021-01-11,0.0,2.976,0.83,0.0,78.7
2021-01-12,0.0,8.871,0.83,0.0,78.7
2021-01-13,0.0,7.12,0.82,0.0,78.7
2021-01-14,0.0,5.194,0.81,0.0,78.7
2021-01-15,0.0,5.486,0.81,0.0,78.7
2021-01-16,0.0,5.661,0.82,0.0,78.7
2021-01-17,0.004489207477639315,2.393,0.83,0.113,78.7
2021-01-18,0.0,2.918,0.84,0.0,78.7
2021-01-19,0.0,6.245,0.85,0.0,78.7
2021-01-20,0.0,5.019,0.85,0.0,78.7
2021-01-21,0.0,5.194,0.86,0.0,78.7
2021-01-22,0.0,5.194,0.86,0.0,78.7
2021-01-23,0.0,5.136,0.86,0.0,82.41
2021-01-24,0.009702143692573618,1.751,0.86,0.109,82.41
2021-01-25,0.0,2.334,0.85,0.0,82.41
2021-01-26,0.0,5.019,0.85,0.0,82.41
2021-01-27,0.0,4.027,0.84,0.0,82.41
2021-01-28,0.0,4.902,0.83,0.0,82.41
2021-01-29,0.0,3.268,0.82,0.0,82.41
2021-01-30,0.0,5.136,0.82,0.0,82.41
2021-01-31,0.020378441089116912,2.276,0.83,0.107,82.41
2021-02-01,0.0,1.576,0.85,0.0,82.41
2021-02-02,0.0,4.844,0.86,0.0,82.41
2021-02-03,0.0,3.677,0.87,0.0,82.41
2021-02-04,0.0,3.793,0.86,0.0,82.41
2021-02-05,0.0,3.56,0.86,0.0,82.41
2021-02-06,0.0,3.56,0.86,0.0,82.41
2021-02-07,0.03182077859579117,2.801,0.86,0.104,82.41
2021-02-08,0.0,1.576,0.86,0.0,78.7
2021-02-09,0.0,5.019,0.87,0.0,78.7
2021-02-10,0.0,4.727,0.9,0.0,78.7
2021-02-11,0.0,4.202,0.93,0.0,78.7
2021-02-12,0.0,3.793,0.95,0.0,78.7
2021-02-13,0.0,3.852,0.96,0.0,78.7
2021-02-14,0.04034993431232318,1.342,0.97,0.103,78.7
2021-02-15,0.0,1.576,0.98,0.0,78.7
2021-02-16,0.0,5.077,1.0,0.0,78.7
2021-02-17,0.0,5.136,1.03,0.0,78.7
2021-02-18,0.0,4.26,1.06,0.0,78.7
2021-02-19,0.0,2.918,1.08,0.0,78.7
2021-02-20,0.0,3.618,1.1,0.0,78.7
2021-02-21,0.05110455151899871,0.992,1.12,0.094,78.7
2021-02-22,0.0,1.868,1.12,0.0,78.7
2021-02-23,0.0,5.486,1.11,0.0,78.7
2021-02-24,0.0,3.677,1.1,0.0,78.7
2021-02-25,0.0,1.868,1.09,0.0,78.7
2021-02-26,0.0,3.793,1.08,0.0,78.7
2021-02-27,0.0,2.451,1.07,0.0,78.7
2021-02-28,0.0647249617782402,1.167,1.06,0.084,78.7
2021-03-01,0.0,1.284,1.06,0.0,78.7
2021-03-02,0.0,3.793,1.05,0.0,78.7
2021-03-03,0.0,2.86,1.05,0.0,75.0
2021-03-04,0.0,1.926,1.03,0.0,75.0
2021-03-05,0.0,1.926,1.03,0.0,75.0
2021-03-06,0.0,2.393,1.05,0.0,75.0
2021-03-07,0.07704690895578858,1.809,1.06,0.073,75.0
2021-03-08,0.0,1.634,1.08,0.0,75.0
2021-03-09,0.0,3.268,1.1,0.0,75.0
2021-03-10,0.0,1.809,1.12,0.0,75.0
2021-03-11,0.0,2.918,1.13,0.0,75.0
2021-03-12,0.0,1.517,1.14,0.0,75.0
2021-03-13,0.0,1.342,1.15,0.0,75.0
2021-03-14,0.0886221333534249,1.401,1.16,0.073,75.0
2021-03-15,0.0,1.05,1.16,0.0,75.0
2021-03-16,0.0,1.926,1.16,0.0,75.0
2021-03-17,0.0,2.743,1.16,0.0,75.0
2021-03-18,0.0,1.984,1.16,0.0,75.0
2021-03-19,0.0,2.743,1.17,0.0,75.0
2021-03-20,0.0,0.934,1.17,0.0,75.0
2021-03-21,0.09372634393029934,0.934,1.17,0.075,75.0
2021-03-22,0.0,0.875,1.17,0.0,75.0
2021-03-23,0.0,2.86,1.16,0.0,75.0
2021-03-24,0.0,2.043,1.16,0.0,75.0
2021-03-25,0.0,1.517,1.15,0.0,75.0
2021-03-26,0.0,1.459,1.13,0.0,75.0
2021-03-27,0.0,1.809,1.12,0.0,75.0
2021-03-28,0.10543229587987026,0.875,1.11,0.08,75.0
2021-03-29,0.0,0.759,1.09,0.0,75.0
2021-03-30,0.0,2.159,1.07,0.0,75.0
2021-03-31,0.0,1.868,1.06,0.0,75.0
2021-04-01,0.0,1.401,1.04,0.0,75.0
2021-04-02,0.0,1.167,1.02,0.0,75.0
2021-04-03,0.0,1.926,1.0,0.0,75.0
2021-04-04,0.12549985050954274,1.401,0.99,0.084,75.0
2021-04-05,0.0,0.642,0.99,0.0,75.0
2021-04-06,0.0,1.459,0.99,0.0,75.0
2021-04-07,0.0,1.401,1.0,0.0,75.0
2021-04-08,0.0,1.342,1.01,0.0,75.0
2021-04-09,0.0,2.451,1.02,0.0,75.0
2021-04-10,0.0,1.401,1.03,0.0,75.0
2021-04-11,0.1555970096772821,1.167,1.04,0.095,75.0
2021-04-12,0.0,1.284,1.04,0.0,75.0
2021-04-13,0.0,2.159,1.03,0.0,75.0
2021-04-14,0.0,1.751,1.03,0.0,75.0
2021-04-15,0.0,0.875,1.04,0.0,75.0
2021-04-16,0.0,0.992,1.06,0.0,75.0
2021-04-17,0.0,1.984,1.06,0.0,75.0
2021-04-18,0.1973946349062523,0.759,1.06,0.098,75.0
2021-04-19,0.0,1.342,1.06,0.0,75.0
2021-04-20,0.0,1.692,1.05,0.0,75.0
2021-04-21,0.0,1.342,1.05,0.0,75.0
2021-04-22,0.0,1.401,1.04,0.0,75.0
2021-04-23,0.0,1.109,1.03,0.0,75.0
2021-04-24,0.0,1.401,1.01,0.0,75.0
2021-04-25,0.22866507385260457,0.7,0.99,0.103,75.0
2021-04-26,0.0,0.817,0.97,0.0,71.3
2021-04-27,0.0,1.926,0.96,0.0,71.3
2021-04-28,0.0,0.642,0.96,0.0,67.59
2021-04-29,0.0,1.926,0.96,0.0,67.59
2021-04-30,0.0,1.517,0.95,0.0,67.59
2021-05-01,0.0,1.342,0.94,0.0,67.59
2021-05-02,0.2633481438701063,0.233,0.96,0.108,67.59
2021-05-03,0.0,1.05,0.99,0.0,67.59
2021-05-04,0.0,1.868,0.98,0.0,67.59
2021-05-05,0.0,1.517,0.96,0.0,67.59
2021-05-06,0.0,1.401,0.94,0.0,67.59
2021-05-07,0.0,1.284,0.93,0.0,67.59
2021-05-08,0.0,1.809,0.92,0.0,67.59
2021-05-09,0.2960262384203256,0.233,0.91,0.118,67.59
2021-05-10,0.0,1.167,0.88,0.0,67.59
2021-05-11,0.0,2.685,0.86,0.0,67.59
2021-05-12,0.0,0.934,0.84,0.0,67.59
2021-05-13,0.0,0.875,0.82,0.0,67.59
2021-05-14,0.0,0.642,0.79,0.0,67.59
2021-05-15,0.0,0.759,0.78,0.0,67.59
2021-05-16,0.334789058547443,0.817,0.77,0.115,67.59
2021-05-17,0.0,0.467,0.77,0.0,67.59
2021-05-18,0.0,0.992,0.78,0.0,67.59
2021-05-19,0.0,0.934,0.77,0.0,67.59
